"","Keyword","Title","Writer","averageRating","ratingAmount","reviewAmount","Summary"
"1","the lord of the rings","The Fellowship of the Ring","J.R.R. Tolkien","E","2512325","26745","One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose."
"2","the lord of the rings","The Two Towers","J.R.R. Tolkien","4.45","E","E","Alternate Cover Edition ISBN 0345296060 (ISBN13: 9780345296061)One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind themFrodo and his Companions of the Ring have been beset by danger during their quest to prevent the Ruling Ring from falling into the hands of the Dark Lord by destroying it in the Cracks of Doom. They have lost the wizard, Gandalf, in a battle in the Mines of Moria. And Boromir, seduced by the power of the Ring, tried to seize it by force. While Frodo and Sam made their escape, the rest of the company was attacked by Orcs. Now they continue the journey alone down the great River Anduin<U+2014>alone, that is, save for the mysterious creeping figure that follows wherever they go."
"3","the lord of the rings","The Lord of the Rings","J.R.R. Tolkien, Quirino Principe, Elemire Zolla","4.5","607570","12456","One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell by chance into the hands of the hobbit Bilbo Baggins.From Sauron's fastness in the Dark Tower of Mordor, his power spread far and wide. Sauron gathered all the Great Rings to him, but always he searched for the One Ring that would complete his dominion.When Bilbo reached his eleventy-first birthday he disappeared, bequeathing to his young cousin Frodo the Ruling Ring and a perilous quest: to journey across Middle-earth, deep into the shadow of the Dark Lord, and destroy the Ring by casting it into the Cracks of Doom.The Lord of the Rings tells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the Wizard; the hobbits Merry, Pippin, and Sam; Gimli the Dwarf; Legolas the Elf; Boromir of Gondor; and a tall, mysterious stranger called Strider."
"4","the lord of the rings","The Return of the King","J.R.R. Tolkien","4.54","E","E","E"
"5","the lord of the rings","J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings","J.R.R. Tolkien","4.6","119019","1915","This four-volume, boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord of the Rings (The Fellowship of the Ring, The Two Towers, and The Return of the King).In The Hobbit, Bilbo Baggins is whisked away from his comfortable, unambitious life in Hobbiton by the wizard Gandalf and a company of dwarves. He finds himself caught up in a plot to raid the treasure hoard of Smaug the Magnificent, a large and very dangerous dragon.The Lord of the Rings tells of the great quest undertaken by Frodo Baggins and the Fellowship of the Ring: Gandalf the wizard; the hobbits Merry, Pippin, and Sam; Gimli the dwarf; Legolas the elf; Boromir of Gondor; and a tall, mysterious stranger called Strider. J.R.R. Tolkien's three volume masterpiece is at once a classic myth and a modern fairy tale<U+2014>a story of high and heroic adventure set in the unforgettable landscape of Middle-earth"
"6","the lord of the rings","The Lord of the Rings: Weapons and Warfare","Chris   Smith, Christopher  Lee, Richard Taylor","4.59","E","E","Lavishly illustrated with 1,000 photos, paintings, maps, sculptures and sketches, most appearing here for the first time, Weapons and Warfare is an indispensable chronicle of The Lord of the Rings' many creatures, warriors, armies and battlegrounds. From the graceful and proficient Elves to the horrendous war machines of the Dark Lord, each culture's approach to warfare is explained - how they fought, why they were fighting, what armor they wore and what weapons they used against their enemies. Now you can get as close to a marauding Orc as you could ever wish, without suffering the consequences!Treating the filmmakers' notes, designs and props as a true archive, Weapons and Warfare describes in detail every major conflict depicted in the film trilogy - from The Last Alliance of Elves and Men to the climactic Battle of the Pelennor Fields - each accompanied by a battle diagram from the films' chief designers.Armed with a wealth of fascinating facts and unique imagery, and with an exclusive foreword by Christopher Lee and an introduction by the Academy Award winner Richard Taylor, Weapons and Warfare promises to be the most striking companion to The Lord of the Rings movie trilogy published to date."
"7","the lord of the rings","The Lord of the Rings: The Art of the Fellowship of the Ring","Gary Russell","4.62","E","E","With complete and unrestricted access to artwork created over a five-year period, this authoritative and insightful book illustrates the creative development of The Fellowship of the Ring. This official publication contains 500 exclusive images, from the earliest pencil sketches and conceptual drawings to magnificent full-color paintings that shaped the look of the film. All the principal locations, costumes, armor and creatures are covered in stunning detail, including concepts, storyboards and images that did not make it into the final film.As well as a wealth of sketches, paintings and digital images, The Art of The Fellowship of the Ring contains photographs showing how the creative process was realized and a number of stills from the film. Contributors include Alan Lee and John Howe, the two artists who inspired Peter Jackson's vision of Middle-earth and who worked with him to bring his trilogy to the big screen. They and a dozen other designers who created all of these diverse elements explain how they contributed to the development of the film, giving a fascinating insight into how Middle-earth was brought to life.With text compiled from exclusive interviews with director Peter Jackson, special effects supervisor Richard Taylor, designers Grant Major, Ngila Dickson, Paul Lasaine and others, this unique book celebrates the pivotal contribution made by a handful of people which help turn the first Lord of the Rings movie into an award-winning global success."
"8","the lord of the rings","The Lord of the Rings: The Fellowship of the Ring: Visual Companion","Jude Fisher, J.R.R. Tolkien","E","E","E","Houghton Mifflin is proud to present a full-color, large-format, guide to the characters, cultures, and locations of J.R.R. Tolkien's extraordinary creation Middle-earth, as depicted in the movie The Fellowship of the Ring - the first of three blockbuster films from New Line Cinema. Filled with stunning imagery and with a thorough, informative narrative text, The Fellowship of the Ring Visual Companion will provide the reader with a rich feast of detail and information. Featuring exclusive photos of Frodo, Gandalf, the Ringwraiths, elves, and all the other main characters and creatures of the first film, the book also includes breathtaking pictures of Hobbiton, Rivendell, and Moria. The first of a projected three-book series that no Tolkien fan, from novice to expert, should be without, The Fellowship of the Ring Visual Companion contains a special eight-page gatefold of large-format images unique to this book."
"9","the lord of the rings","The Hobbit","J.R.R. Tolkien","4.28","3193163","53872","An alternate cover edition can be found here and hereA great modern classic and the prelude to The Lord of the Rings. Bilbo Baggins is a hobbit who enjoys a comfortable, unambitious life, rarely traveling any farther than his pantry or cellar. But his contentment is disturbed when the wizard Gandalf and a company of dwarves arrive on his doorstep one day to whisk him away on an adventure. They have launched a plot to raid the treasure hoard guarded by Smaug the Magnificent, a large and very dangerous dragon. Bilbo reluctantly joins their quest, unaware that on his journey to the Lonely Mountain he will encounter both a magic ring and a frightening creature known as Gollum."
"10","the lord of the rings","The Lord of the Rings: The Two Towers (The Lord of the Rings, #2)","Brian Sibley, Michael Bakewell, J.R.R. Tolkien","4.67","32929","76","The second instalment of Tolkien's epic tale, adapted from the original BBC Radio 4 full-cast dramatisation. Having fled the Shire in their escape from Sauron's Dark Riders, Frodo and the Fellowship of the Ring have journeyed to Rivendell and beyond. Their mission is to reach the Mountain of Fire in Mordor, where the Ruling Ring can be destroyed, but already their campaign is in jeopardy. Gandalf has fallen into an abyss, and Boromir has fatally succumbed to the power of the Ring. The others are besieged by an army of orcs - save for Frodo and Sam, whose journey down the River Anduin is being watched by a dark and shadowy figure... Widely regarded as a broadcasting classic, the BBC Radio dramatisation of 'The Lord of the Rings' stars Ian Holm, Michael Hordern, Robert Stephens, John Le Mesurier and Peter Woodthorpe.Duration: 4:29:01"
