"","Keyword","Title","Writer","averageRating","ratingAmount","reviewAmount","Summary"
"1","Harry Potter","Harry Potter and the Goblet of Fire","J.K. Rowling","4.61","3097301","71162","E"
"2","Harry Potter","Harry Potter and the Order of the Phoenix","","4.56","2892037","52633","Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush (and maybe do more than dream). He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for hundreds of years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards.And in his case, different can be deadly."
"3","Harry Potter","Harry Potter and the Chamber of Secrets","J.K. Rowling","4.57","2701475","44467","The war against Voldemort is not going well; even Muggle governments are noticing. Ron scans the obituary pages of the Daily Prophet, looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses.And yet . . .As in all wars, life goes on. The Weasley twins expand their business. Sixth-year students learn to Apparate - and lose a few eyebrows in the process. Teenagers flirt and fight and fall in love. Classes are never straightforward, through Harry receives some extraordinary help from the mysterious Half-Blood Prince.So it's the home front that takes center stage in the multilayered sixth installment of the story of Harry Potter. Here at Hogwarts, Harry will search for the full and complete story of the boy who became Lord Voldemort - and thereby find what may be his only vulnerability."
"4","Harry Potter","Harry Potter and the Prisoner of Azkaban","J.K. Rowling, Mary GrandPre","4.5","2786599","48222","There is a door at the end of a silent corridor. And it¡¯s haunting Harry Pottter¡¯s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named - a threat that neither the magical government nor the authorities at Hogwarts can stop.As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.His fate depends on them all."
"5","Harry Potter","Harry Potter and the Sorcerer's Stone","J.K. Rowling, Mary GrandPre, <U+0648><U+06CC><U+062F><U+0627> <U+0627><U+0633><U+0644><U+0627><U+0645><U+06CC><U+0647>","4.43","3070938","59899","Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he¡¯s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike.And strike it does. For in Harry¡¯s second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor and a spirit who haunts the girls¡¯ bathroom. But then the real trouble begins <U+2013> someone is turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possible be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects¡¦ Harry Potter himself!"
"6","Harry Potter","Harry Potter and the Cursed Child: Parts One and Two","J.K. Rowling, Mary GrandPre","4.57","3201490","63056","For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort.Now he has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard Black muttering in his sleep, ""He's at Hogwarts . . . he's at Hogwarts.""Harry Potter isn't safe, not even within the walls of his magical school, surrounded by his friends. Because on top of it all, there may well be a traitor in their midst."
"7","Harry Potter","Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)","J.K. Rowling","4.47","7953296","125289","Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry.Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come."
"8","Harry Potter","Selections from Harry Potter and the Order of the Phoenix: Piano Solos","John Tiffany, Jack Thorne, J.K. Rowling","3.56","809062","67706","Based on an original new story by J.K. Rowling, Jack Thorne and John Tiffany, a new play by Jack Thorne, Harry Potter and the Cursed Child is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on stage. The play will receive its world premiere in London¡¯s West End on July 30, 2016.It was always difficult being Harry Potter and it isn¡¯t much easier now that he is an overworked employee of the Ministry of Magic, a husband and father of three school-age children.While Harry grapples with a past that refuses to stay where it belongs, his youngest son Albus must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: sometimes, darkness comes from unexpected places."
"9","Harry Potter","Harry Potter: Film Wizardry","J.K. Rowling","4.62","153960","710","'You are sharing the Dark Lord's thoughts and emotions. The Headmaster thinks it inadvisable for this to continue. He wishes me to teach you how to close your mind to the Dark Lord.'Dark times have come to Hogwarts. After the Dementors' attack on his cousin Dudley, Harry Potter knows that Voldemort will stop at nothing to find him. There are many who deny the Dark Lord's return, but Harry is not alone: a secret order gathers at Grimmauld Place to fight against the Dark forces. Harry must allow Professor Snape to teach him how to protect himself from Voldemort's savage assaults on his mind. But they are growing stronger by the day and Harry is running out of time ..."
"10","Harry Potter","Harry Potter Page to Screen: The Complete Filmmaking Journey","John   Williams, Nicholas Hooper","4.71","49213","23","Watching the characters from J.K. Rowling's Harry Potter and the Order of the Phoenix(tm) come alive is made only more delightful by the extraordinary soundtrack that enhances Harry, Hermione, Ron's adventures.Alfred presents this selection of music from the soundtrack to the major motion picture arranged for advanced solo piano. Titles are Dumbledore's Army * Fireworks * Flight of the Order of the Phoenix * Loved Ones & Leaving * The Ministry of Magic * Professor Umbridge * The Room of Requirement * (Bonus Selection) Hedwig's Theme."
